rot0	rot1	rot2	rot3
5.48993	5.22177	5.48941	5.20726
5.47784	5.22223	5.47049	5.21274
5.46097	5.21699	5.44963	5.21516
5.45014	5.21908	5.43331	5.22147
5.43437	5.21563	5.41487	5.22467
5.42471	5.21939	5.40102	5.23166
5.41009	5.21772	5.38499	5.23552
5.34632	5.20806	5.4289	5.25819
5.40712	5.23104	5.33951	5.24119
5.41121	5.2416	5.31912	5.24575
5.38689	5.23661	5.32128	5.25583
5.3684	5.23916	5.32778	5.26937
5.35145	5.2403	5.32466	5.27605
5.34584	5.25021	5.32107	5.28374
5.7132	5.18413	4.93684	5.35809
5.77191	4.92974	4.86594	5.63651
6.04045	4.45767	4.5719	6.10211
7.50366	2.8635	3.14823	7.69571
4.43639	5.26768	6.25823	5.20088
3.13086	7.67725	7.43992	2.91725
3.77058	7.32315	6.61467	3.60296
4.81184	6.21589	5.88112	4.73334
5.50092	5.46111	5.56791	5.42966
2.79157	8.11081	8.44408	2.86311
3.17386	7.95515	7.98944	3.18911
3.99151	5.38742	7.16832	5.69109
8.72806	2.61102	2.97527	7.60835
11.5747	1.54038	1.44128	7.31916
8.28271	3.38628	3.4236	7.42739
4.94949	6.25708	4.7119	7.72924
4.64981	7.25339	5.90112	6.81814
5.46667	6.96653	6.47769	6.31254
6.27537	6.6424	6.32384	6.23842
6.50353	6.43963	6.15625	6.42858
6.99987	7.08077	5.43691	5.88436
13.1844	0.151231	-1.51124	13.3627
8.71344	2.89431	2.99237	9.98711
0.695825	10.6359	11.6199	0.916317
0.991764	10.4691	11.1793	0.589867
3.78112	8.00196	8.29575	3.34645
6.01935	6.21742	6.37573	5.65003
7.0616	5.50354	5.83002	6.66725
7.05138	5.6697	6.08876	6.67341
6.68658	6.10436	6.47502	6.34928
6.42777	6.33727	6.64298	6.12464
6.34939	6.33866	6.59982	6.07721
6.33542	6.21304	6.46122	6.09151
0.415694	12.1374	12.2045	0.0371743
8.20423	4.08073	4.16763	7.99042
9.19314	2.67939	2.95536	9.01541
7.81321	3.82363	4.10633	7.54643
6.58672	4.96509	5.22315	6.25266
5.94551	5.53843	5.75316	5.67131
5.71255	5.71149	5.89247	5.51555
5.67076	5.67714	5.84114	5.52506
5.68679	5.59989	5.75153	5.55652
5.68332	5.53274	5.67135	5.55941
5.66172	5.49591	5.61912	5.54014
5.61598	5.46966	5.57853	5.5062
5.57094	5.45459	5.54896	5.47202
5.52034	5.43435	5.51662	5.43676
5.47951	5.41912	5.48865	5.40652
5.43628	5.39805	5.4569	5.37598
5.40251	5.38351	5.43053	5.35067
5.36594	5.36463	5.4021	5.32496
5.33841	5.35329	5.37998	5.30503
5.30848	5.33805	5.35656	5.28488
5.28773	5.33057	5.33955	5.27101
5.26492	5.31923	5.32138	5.25689
5.25118	5.3156	5.30941	5.24919
5.23534	5.30783	5.29618	5.24095
5.22811	5.30756	5.28873	5.23897
5.21841	5.30283	5.27974	5.23583
5.21666	5.3052	5.27603	5.23851
5.21184	5.3027	5.27038	5.23932
5.13241	5.36825	5.36422	5.19702
5.18688	5.34511	5.28864	5.2106
4.00502	6.07729	6.48727	4.50501
4.70832	5.70587	5.74656	4.89032
2.73655	7.86701	7.75294	2.73555
7.29541	3.69788	3.299	6.77223
7.55079	3.25872	3.07135	7.18956
6.50899	4.18177	4.03499	6.49691
5.64997	5.08403	4.93211	5.83126
5.28856	5.53289	5.4128	5.48428
5.2499	5.65204	5.57271	5.38469
5.31265	5.61434	5.56563	5.39281
4.94024	5.12492	5.95825	5.84463
5.40744	5.43393	5.55865	5.36849
5.70343	5.68331	5.27202	5.04173
5.62359	5.69059	5.23798	5.06323
5.50677	5.62839	5.30366	5.14505
5.37169	5.47821	5.41963	5.22049
5.20763	5.27435	5.61455	5.35599
5.21097	5.26874	5.603	5.32919
11.9389	1.27659	-1.16193	9.35148
2.84339	6.5933	8.12402	3.54283
2.75484	6.91601	8.74486	2.63049
3.90104	6.48751	7.24097	3.78304
4.88263	6.1806	5.82419	5.14554
5.50945	5.92917	5.29206	5.88057
5.79546	5.79146	5.36647	6.09017
5.82	5.80018	5.60125	6.0488
5.76641	5.88087	5.75519	5.97112
5.72227	5.92689	5.7891	5.91517
5.71031	5.92165	5.76232	5.88781
5.70033	5.86466	5.71355	5.85904
5.68794	5.79724	5.66465	5.82601
5.65937	5.72146	5.61218	5.77723
5.63101	5.65459	5.5612	5.72691
5.59582	5.5842	5.50737	5.67107
5.56825	5.52345	5.4588	5.62227
5.53758	5.46221	5.41142	5.57436
5.51627	5.41415	5.37298	5.53628
5.69591	5.1316	5.13444	5.73861
5.61414	5.2035	5.1661	5.59762
5.59202	5.41289	5.15215	5.34094
5.36091	5.35338	5.33797	5.4021
5.11051	5.47146	5.54455	5.27811
5.18728	5.42627	5.46986	5.29809
5.30405	5.35282	5.35384	5.33644
